latitude,longitude,geometry
-122.24576845323176,37.85399590164562,POINT (-122.24576845323176 37.85399590164562)
-122.22240001625445,37.853864060491375,POINT (-122.22240001625445 37.853864060491375)
-122.22293680704695,37.8530456043654,POINT (-122.22293680704695 37.8530456043654)
-122.24441910539876,37.854215682611695,POINT (-122.24441910539876 37.854215682611695)
-122.24328691985673,37.85424202266612,POINT (-122.24328691985673 37.85424202266612)
-122.22012498903435,37.85414382750992,POINT (-122.22012498903435 37.85414382750992)
-122.25981309722519,37.85518953479136,POINT (-122.25981309722519 37.85518953479136)
-122.31118789397505,37.86515024232437,POINT (-122.31118789397505 37.86515024232437)
-122.24819585953234,37.85446674749973,POINT (-122.24819585953234 37.85446674749973)
-122.31118810763293,37.86515916638988,POINT (-122.31118810763293 37.86515916638988)
-122.2952659901033,37.87498116930382,POINT (-122.2952659901033 37.87498116930382)
-122.27565916744646,37.87481694236811,POINT (-122.27565916744646 37.87481694236811)
-122.3004243051233,37.86606907993034,POINT (-122.3004243051233 37.86606907993034)
-122.30024735581188,37.86610481876627,POINT (-122.30024735581188 37.86610481876627)
-122.29181067750301,37.86814883261191,POINT (-122.29181067750301 37.86814883261191)
-122.24441910539876,37.854215682611695,POINT (-122.24441910539876 37.854215682611695)
-122.24447826448902,37.854963301989116,POINT (-122.24447826448902 37.854963301989116)
-122.30301018951066,37.86542493946826,POINT (-122.30301018951066 37.86542493946826)
-122.31685410655142,37.86601559577072,POINT (-122.31685410655142 37.86601559577072)
-122.24762542372102,37.855178367821445,POINT (-122.24762542372102 37.855178367821445)
-122.26649318318404,37.85530055398621,POINT (-122.26649318318404 37.85530055398621)
-122.297746316895,37.86793795457317,POINT (-122.297746316895 37.86793795457317)
-122.23266065075927,37.851722121436076,POINT (-122.23266065075927 37.851722121436076)
-122.24538223688143,37.85213499823463,POINT (-122.24538223688143 37.85213499823463)
-122.26639383487566,37.85454736910525,POINT (-122.26639383487566 37.85454736910525)
-122.26616981256703,37.83749677940256,POINT (-122.26616981256703 37.83749677940256)
-122.26606523083034,37.837512160399726,POINT (-122.26606523083034 37.837512160399726)
-122.26545055140143,37.83797460294669,POINT (-122.26545055140143 37.83797460294669)
-122.2658019297125,37.83795412197257,POINT (-122.2658019297125 37.83795412197257)
-122.31548827572871,37.86430360763231,POINT (-122.31548827572871 37.86430360763231)
-122.26000937997247,37.841577301359045,POINT (-122.26000937997247 37.841577301359045)
-122.25909728592875,37.84186416619354,POINT (-122.25909728592875 37.84186416619354)
-122.25675996819977,37.84262290866443,POINT (-122.25675996819977 37.84262290866443)
-122.31776828163213,37.865816129977716,POINT (-122.31776828163213 37.865816129977716)
-122.31773693962585,37.865356816655485,POINT (-122.31773693962585 37.865356816655485)
-122.30170861680006,37.86580965244131,POINT (-122.30170861680006 37.86580965244131)
-122.31345611293693,37.86594188833662,POINT (-122.31345611293693 37.86594188833662)
-122.31716259811935,37.86594091270576,POINT (-122.31716259811935 37.86594091270576)
-122.31597334588321,37.86618394571061,POINT (-122.31597334588321 37.86618394571061)
-122.31566911989567,37.86581154433883,POINT (-122.31566911989567 37.86581154433883)
-122.31951976048657,37.86970059690655,POINT (-122.31951976048657 37.86970059690655)
-122.3187982926567,37.86983522723351,POINT (-122.3187982926567 37.86983522723351)
-122.30210789297269,37.865722305014266,POINT (-122.30210789297269 37.865722305014266)
